name,slug,value,date_of_information,ranking,region
"Nauru","nauru","48.50","2020 est.","1","Australia and Oceania"
"Burma","burma","44.10","2020 est.","2","East and Southeast Asia"
"Kiribati","kiribati","40.60","2020 est.","3","Australia and Oceania"
"Serbia","serbia","39.80","2020 est.","4","Europe"
"Papua New Guinea","papua-new-guinea","39.30","2020 est.","5","East and Southeast Asia"
"Timor-Leste","timor-leste","39.20","2020 est.","6","East and Southeast Asia"
"Bulgaria","bulgaria","39.00","2020 est.","7","Europe"
"Lebanon","lebanon","38.20","2020 est.","8","Middle East"
"Indonesia","indonesia","37.60","2020 est.","9","East and Southeast Asia"
"Latvia","latvia","37.00","2020 est.","10","Europe"
"Croatia","croatia","36.90","2020 est.","11","Europe"
"Solomon Islands","solomon-islands","36.50","2020 est.","12","Australia and Oceania"
"Tuvalu","tuvalu","35.60","2020 est.","13","Australia and Oceania"
"Cyprus","cyprus","35.10","2020 est.","14","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","35.00","2020 est.","15","Europe"
"Jordan","jordan","34.80","2020 est.","16","Middle East"
"Bangladesh","bangladesh","34.70","2020 est.","17","South Asia"
"Greece","greece","33.50","2020 est.","18","Europe"
"France","france","33.40","2020 est.","19","Europe"
"Lithuania","lithuania","32.00","2020 est.","20","Europe"
"Andorra","andorra","31.80","2020 est.","21","Europe"
"Hungary","hungary","31.80","2020 est.","22","Europe"
"Laos","laos","31.80","2020 est.","23","East and Southeast Asia"
"Georgia","georgia","31.70","2020 est.","24","Middle East"
"Slovakia","slovakia","31.50","2020 est.","25","Europe"
"Montenegro","montenegro","31.40","2020 est.","26","Europe"
"Tonga","tonga","31.00","2020 est.","27","Australia and Oceania"
"Czechia","czechia","30.70","2020 est.","28","Europe"
"Turkey (Turkiye)","turkey-turkiye","30.70","2020 est.","29","Middle East"
"Belarus","belarus","30.50","2020 est.","30","Europe"
"Nepal","nepal","30.40","2020 est.","31","South Asia"
